"","MandateId","SearchStatus","MandateDate","EntryDate","MandateSizeCurrency","MandateSizeAmount","AccountSizeAmount","MandateRegion","Fund","FundType","FundCountry","FundRegion","SearchConsultant","AssetManager","AssetManagerParentFirm","AssetManagerCountry","MainAssetClass","InvestmentApproach","SubAssetClass","CapSize","Style","Benchmark.Index","Month","Region","Year","Quarter","AC2","XR","OriginalAmount"
"3",2147033239,"Completed",2017-09-29,"9/29/2017","USD",40,40,"Europe","New York State Common Retirement Fund","Public D.B.","United States","North America","RVK Inc.","57 Stars","","United States","Private Equity","","Fund-of-Funds","","","","09","US","2017","Q3","Private Equity",1,40
"14",2147028976,"Completed",2017-02-09,"2/9/2017","USD",1985,375,"Global","State of Wisconsin Investment Board","Public D.B.","United States","North America","Cliffwater","AB (AllianceBernstein)","AB (AllianceBernstein)","United States","Hedge Funds","","","","","","02","US","2017","Q1","Hedge Funds",1,375
"15",2147028773,"Completed",2017-01-25,"1/25/2017","USD",200,100,"U.S.","Houston Firefighters’ Relief and Retirement Fund","Public D.B.","United States","North America","None","AB (AllianceBernstein)","AB (AllianceBernstein)","United States","Equity","Passive","Low-Volatility","","","","01","US","2017","Q1","Equity",1,100
"17",2147028454,"Completed",2017-01-03,"1/3/2017","USD",514,291,"U.S.","New Hampshire Retirement System","Public D.B.","United States","North America","NEPC","AB (AllianceBernstein)","AB (AllianceBernstein)","United States","Equity","Active","","Small- to Mid-Cap","","","01","US","2017","Q1","Equity",1,291
"18",2147029674,"Completed",2017-05-03,"5/3/2017","USD",0,0,"International","New Mexico State Investment Council","Permanent Fund","United States","North America","RVK Inc.","AB (AllianceBernstein)","AB (AllianceBernstein)","Australia","Equity","Mixed/Unspecified","","","","","05","US","2017","Q2","Equity",1,0
"20",2147033248,"Completed",2017-09-29,"9/29/2017","USD",210,30,"U.S.","Montana Board of Investments","Public D.B.","United States","North America","RVK Inc.","AB (AllianceBernstein)","AB (AllianceBernstein)","United States","Equity","Active","","Small-Cap","","","09","US","2017","Q3","Equity",1,30
"21",2147033041,"Completed",2017-09-20,"9/20/2017","USD",201,201,"Global","Los Angeles Fire & Police Pension System","Public D.B.","United States","North America","RVK Inc.","AB (AllianceBernstein)","AB (AllianceBernstein)","United States","Equity","Passive","","","","","09","US","2017","Q3","Equity",1,201
"22",2147028237,"Completed",2017-08-29,"8/29/2017","USD",400,200,"U.S.","Los Angeles Fire & Police Pension System","Public D.B.","United States","North America","RVK Inc.","AB (AllianceBernstein)","AB (AllianceBernstein)","United States","Equity","Mixed/Unspecified","","Small-Cap","Value","","08","US","2017","Q3","Equity",1,200
"23",2147032493,"Completed",2017-08-24,"8/24/2017","USD",20,20,"U.S.","Montana Board of Investments","Public D.B.","United States","North America","RVK Inc.","AB (AllianceBernstein)","AB (AllianceBernstein)","United States","Equity","Active","","Small-Cap","Growth","","08","US","2017","Q3","Equity",1,20
"24",2147031092,"Completed",2017-06-27,"6/27/2017","USD",50,50,"U.S.","Indiana Public Retirement System","Public D.B.","United States","North America","None","Abacus Capital Group","","United States","Real Estate","Mixed/Unspecified","Commercial","","","","06","US","2017","Q2","Real Estate",1,50
